u,v,key,osmid,highway,lanes,maxspeed,name,oneway,ref,reversed,length,geometry,bridge,junction,width,access,tunnel
32841598,624526405,0,39734286,trunk,3,90,Vakarinis aplinkl.,True,A5,False,76.30119241780619,"LINESTRING (23.8757552 54.9384655, 23.8754566 54.938271, 23.8749686 54.9379491)",,,,,
32841630,287914012,0,26284240,trunk_link,1,90,,True,,False,227.34112950240868,"LINESTRING (23.8364897 54.9146076, 23.8357915 54.9141302, 23.8356121 54.9140236, 23.8355143 54.9139767, 23.8353988 54.9139376, 23.8352662 54.9139065, 23.8351442 54.913895, 23.835006 54.9138973, 23.8348853 54.9139112, 23.8347713 54.9139397, 23.8346774 54.9139775, 23.8345903 54.914033, 23.8345272 54.9140846, 23.8344763 54.9141486, 23.8344428 54.9142172, 23.8344428 54.9143004, 23.8344481 54.9143806, 23.8345032 54.9146169)",,,,,
32841630,365308218,0,"[32499152, 36948740, 36971317]",trunk,2,90,"['Vakarinis apvažiavimas', 'Vakarinis aplinkl.']",True,A5,False,516.9314260070904,"LINESTRING (23.8364897 54.9146076, 23.8357155 54.9138233, 23.8354794 54.9135542, 23.8352501 54.9132775, 23.8350315 54.9129876, 23.8348183 54.9126646, 23.834647 54.9123755, 23.8344374 54.9119563, 23.8343395 54.911748, 23.8342389 54.9115044, 23.8341552 54.9112663, 23.8340154 54.9107936, 23.8339227 54.9102485)",yes,,,,
32841693,920222937,0,128573434,trunk,4,50,Ateities pl.,False,,False,70.38458391809324,"LINESTRING (24.0485882 54.9231203, 24.0478825 54.9226343)",,,,,
32841700,59613627,0,367788795,trunk,4,50,Ateities pl.,False,,False,37.01919068404598,"LINESTRING (24.041005 54.9179601, 24.0407975 54.9178278, 24.0406172 54.9177128)",,,,,
32841700,773554868,0,"[994957058, 140487663]",trunk,"['5', '4']",50,Ateities pl.,False,,True,186.50910643990113,"LINESTRING (24.041005 54.9179601, 24.0415175 54.9182976, 24.0429242 54.9192237)",,,,,
32841700,9187779052,0,994957063,primary,1,50,Taikos pr.,True,,False,90.6976999168453,"LINESTRING (24.041005 54.9179601, 24.0406829 54.9179258, 24.0405449 54.9179203, 24.0403018 54.9179252, 24.0395918 54.9179256)",,,,,
32841736,7617598781,0,160894855,primary,2,50,R. Kalantos g.,True,,False,55.47970296208741,"LINESTRING (24.0023288 54.8920598, 24.0028903 54.8919167, 24.0030636 54.8918783, 24.0031268 54.8918644)",,,,,
32841736,868404093,0,"[1054941033, 1054941034]",primary,4,50,R. Kalantos g.,False,,False,135.42456888895316,"LINESTRING (24.0023288 54.8920598, 24.0017286 54.8921855, 24.0013133 54.8922734, 24.0008492 54.8923716, 24.0007954 54.892383, 24.0006242 54.8924192, 24.0003931 54.892468, 24.0003406 54.8924791)",,,,,
32842178,2517813119,0,800262091,unclassified,1,50,T. Masiulio g.,True,,False,33.08273218399525,"LINESTRING (24.0085026 54.8822659, 24.0086189 54.881976)",,,,,
