osmid,y,x,street_count,highway,ref,geometry
32841598,54.9384655,23.8757552,3,,,POINT (23.8757552 54.9384655)
32841630,54.9146076,23.8364897,3,motorway_junction,141,POINT (23.8364897 54.9146076)
32841693,54.9231203,24.0485882,4,,,POINT (24.0485882 54.9231203)
32841700,54.9179601,24.041005,3,,,POINT (24.041005 54.9179601)
32841736,54.8920598,24.0023288,3,,,POINT (24.0023288 54.8920598)
32842178,54.8822659,24.0085026,3,,,POINT (24.0085026 54.8822659)
32842179,54.8801177,24.0113007,3,,,POINT (24.0113007 54.8801177)
32843212,54.8715239,23.9923409,3,,,POINT (23.9923409 54.8715239)
32843227,54.8618427,23.9853349,3,,,POINT (23.9853349 54.8618427)
32843236,54.8486461,23.9644059,3,,,POINT (23.9644059 54.8486461)
32843238,54.8405865,23.9500585,3,,,POINT (23.9500585 54.8405865)
32844426,54.8868951,23.8957991,3,,,POINT (23.8957991 54.8868951)
32844430,54.8687585,23.8890045,3,traffic_signals,,POINT (23.8890045 54.8687585)
32844988,54.8994463,24.0024229,3,,,POINT (24.0024229 54.8994463)
32844989,54.8975205,24.0028466,3,,,POINT (24.0028466 54.8975205)
32844995,54.901179,23.9750049,3,,,POINT (23.9750049 54.901179)
32845001,54.901489,23.9749912,3,,,POINT (23.9749912 54.901489)
32845006,54.9011341,23.9739623,3,,,POINT (23.9739623 54.9011341)
32845008,54.9010869,23.9740284,3,,,POINT (23.9740284 54.9010869)
32845011,54.8943938,23.9893824,3,,,POINT (23.9893824 54.8943938)
32845040,54.9012707,23.9708679,3,,,POINT (23.9708679 54.9012707)
32845098,54.8954045,23.9493398,3,,,POINT (23.9493398 54.8954045)
32845150,54.8952171,23.9488374,3,,,POINT (23.9488374 54.8952171)
32846319,54.9070071,23.8756271,3,traffic_signals,,POINT (23.8756271 54.9070071)
32846325,54.9058825,23.8814992,3,,,POINT (23.8814992 54.9058825)
32846343,54.910809,23.8761809,3,,,POINT (23.8761809 54.910809)
32846358,54.9146356,23.8754261,3,,,POINT (23.8754261 54.9146356)
32846360,54.9151456,23.8761753,3,,,POINT (23.8761753 54.9151456)
32846362,54.9157111,23.8771681,3,,,POINT (23.8771681 54.9157111)
32846369,54.917812,23.8799918,3,,,POINT (23.8799918 54.917812)
32846382,54.914677,23.8656225,3,,,POINT (23.8656225 54.914677)
32846383,54.9153385,23.865852,3,,,POINT (23.865852 54.9153385)
32846401,54.922108,23.8691634,3,,,POINT (23.8691634 54.922108)
32846404,54.9242711,23.8727209,3,,,POINT (23.8727209 54.9242711)
32846405,54.9251054,23.8740989,3,,,POINT (23.8740989 54.9251054)
32846409,54.9302713,23.8867007,4,,,POINT (23.8867007 54.9302713)
32846410,54.9322094,23.8857687,3,motorway_junction,,POINT (23.8857687 54.9322094)
32846424,54.9378406,23.8904634,3,,,POINT (23.8904634 54.9378406)
32846425,54.937959,23.891138,3,,,POINT (23.891138 54.937959)
32846429,54.9398266,23.8790658,3,motorway_junction,,POINT (23.8790658 54.9398266)
32846434,54.9408529,23.8792835,3,,,POINT (23.8792835 54.9408529)
32846436,54.9400648,23.8807936,3,,,POINT (23.8807936 54.9400648)
32846451,54.9366337,23.9100165,3,,,POINT (23.9100165 54.9366337)
46801114,54.9188022,23.9511433,4,traffic_signals,,POINT (23.9511433 54.9188022)
51408753,54.8945767,23.9092379,3,,,POINT (23.9092379 54.8945767)
51835821,54.8906631,23.9249057,3,,,POINT (23.9249057 54.8906631)
51835822,54.8952213,23.9251364,3,,,POINT (23.9251364 54.8952213)
51835824,54.8960763,23.9040536,3,,,POINT (23.9040536 54.8960763)
51835826,54.8963371,23.8976509,3,,,POINT (23.8976509 54.8963371)
51836551,54.8990776,23.8926641,3,,,POINT (23.8926641 54.8990776)
51837041,54.904951,23.8857944,3,,,POINT (23.8857944 54.904951)
51841581,54.9107208,23.9835823,4,,,POINT (23.9835823 54.9107208)
58301659,54.913449,23.956584,3,,,POINT (23.956584 54.913449)
58302310,54.9113625,23.9561058,3,,,POINT (23.9561058 54.9113625)
58302312,54.9047489,23.9486517,4,,,POINT (23.9486517 54.9047489)
58306115,54.9007625,23.9100709,3,,,POINT (23.9100709 54.9007625)
58306117,54.8997487,23.9224618,3,,,POINT (23.9224618 54.8997487)
58306995,54.8971957,23.9252772,3,,,POINT (23.9252772 54.8971957)
58311063,54.8924311,23.8907044,1,,,POINT (23.8907044 54.8924311)
58311898,54.8697991,23.9761629,3,,,POINT (23.9761629 54.8697991)
58313400,54.8711731,23.9383882,3,,,POINT (23.9383882 54.8711731)
58313402,54.8785829,23.9334132,3,,,POINT (23.9334132 54.8785829)
58314150,54.8714936,23.9778481,3,,,POINT (23.9778481 54.8714936)
58318066,54.8408844,23.9475971,3,,,POINT (23.9475971 54.8408844)
58328760,54.949309,23.888467,3,,,POINT (23.888467 54.949309)
59595566,54.9425561,23.8787192,3,,,POINT (23.8787192 54.9425561)
59613397,54.9174593,23.9854711,3,,,POINT (23.9854711 54.9174593)
59613398,54.917551,23.9851605,3,,,POINT (23.9851605 54.917551)
59613399,54.9170711,23.9837326,3,,,POINT (23.9837326 54.9170711)
59613401,54.9170032,23.9837183,3,,,POINT (23.9837183 54.9170032)
59613403,54.9163304,23.984548,3,,,POINT (23.984548 54.9163304)
59613407,54.9168341,23.9859132,3,,,POINT (23.9859132 54.9168341)
59613510,54.9183815,24.0229711,3,,,POINT (24.0229711 54.9183815)
59613617,54.9187221,23.9919275,3,,,POINT (23.9919275 54.9187221)
59613620,54.9183113,24.0120978,3,,,POINT (24.0120978 54.9183113)
59613627,54.9177128,24.0406172,3,,,POINT (24.0406172 54.9177128)
59613688,54.9152324,23.9855242,3,,,POINT (23.9855242 54.9152324)
59641187,54.8966788,23.8961447,3,,,POINT (23.8961447 54.8966788)
59641287,54.9018813,23.9376408,3,,,POINT (23.9376408 54.9018813)
59641515,54.9126503,23.9721096,3,,,POINT (23.9721096 54.9126503)
59641647,54.91634,23.9844894,3,,,POINT (23.9844894 54.91634)
60002117,54.8843295,23.9264108,3,,,POINT (23.9264108 54.8843295)
60002124,54.8820926,23.9204972,4,,,POINT (23.9204972 54.8820926)
60002224,54.9063695,23.9315386,3,,,POINT (23.9315386 54.9063695)
60002230,54.9007632,23.9316356,4,traffic_signals,,POINT (23.9316356 54.9007632)
60002413,54.8867593,23.9310452,3,,,POINT (23.9310452 54.8867593)
60345828,54.9226573,23.9787671,3,crossing,,POINT (23.9787671 54.9226573)
60346208,54.9255164,23.9892483,3,,,POINT (23.9892483 54.9255164)
60347479,54.8653466,23.9578079,3,,,POINT (23.9578079 54.8653466)
60347480,54.8700243,23.9630552,3,,,POINT (23.9630552 54.8700243)
60347481,54.8723527,23.9648555,3,,,POINT (23.9648555 54.8723527)
60347482,54.8679122,23.9719773,3,,,POINT (23.9719773 54.8679122)
60347832,54.9049149,23.8884124,3,,,POINT (23.8884124 54.9049149)
60347835,54.9184298,23.8906945,3,,,POINT (23.8906945 54.9184298)
60348328,54.9422864,23.8785307,3,motorway_junction,,POINT (23.8785307 54.9422864)
60348600,54.9418325,23.881119,3,,,POINT (23.881119 54.9418325)
60348601,54.9437381,23.879817,4,,,POINT (23.879817 54.9437381)
60349526,54.9127474,23.9218321,3,,,POINT (23.9218321 54.9127474)
60349631,54.9087353,23.9287071,4,traffic_signals,,POINT (23.9287071 54.9087353)
60349633,54.9107985,23.9260024,3,,,POINT (23.9260024 54.9107985)
60349634,54.9116329,23.9252068,3,,,POINT (23.9252068 54.9116329)
60349636,54.9133736,23.924443,4,,,POINT (23.924443 54.9133736)
60349778,54.9301061,23.9267539,4,,,POINT (23.9267539 54.9301061)
60349788,54.9322422,23.9428584,3,,,POINT (23.9428584 54.9322422)
60349832,54.9287384,23.9282088,4,,,POINT (23.9282088 54.9287384)
60349869,54.9159487,23.9242341,3,,,POINT (23.9242341 54.9159487)
60734488,54.9342807,23.9731466,3,,,POINT (23.9731466 54.9342807)
60734524,54.9246944,24.0155914,1,,,POINT (24.0155914 54.9246944)
60734593,54.8888504,23.9218737,3,,,POINT (23.9218737 54.8888504)
60734594,54.8891684,23.9191393,3,,,POINT (23.9191393 54.8891684)
60735098,54.8972727,23.9330061,3,,,POINT (23.9330061 54.8972727)
60735099,54.8941359,23.9326628,3,,,POINT (23.9326628 54.8941359)
60735100,54.8937527,23.9322819,3,,,POINT (23.9322819 54.8937527)
60735101,54.8913465,23.9345862,3,,,POINT (23.9345862 54.8913465)
60735102,54.8907574,23.935187,3,,,POINT (23.935187 54.8907574)
60735308,54.9239104,23.9285443,3,,,POINT (23.9285443 54.9239104)
60735321,54.9367842,23.9071925,3,,,POINT (23.9071925 54.9367842)
60735335,54.9303157,23.894595,3,,,POINT (23.894595 54.9303157)
60735336,54.9301316,23.8963453,3,,,POINT (23.8963453 54.9301316)
60798971,54.8963487,23.9212631,1,,,POINT (23.9212631 54.8963487)
